DEPARTAMENTO;MUNICIPIO;GENERO;EDAD;PLATAFORMA_EDUCATIVA
CUNDINAMARCA;SOACHA;FEMENINO;22;COURSERA
BOGOTA;BOGOTA, D.C.;MASCULINO;39;EDX
BOGOTA;BOGOTA, D.C.;MASCULINO;39;EDX
BOGOTA;BOGOTA, D.C.;MASCULINO;39;EDX
BOGOTA;BOGOTA, D.C.;MASCULINO;39;EDX
BOGOTA;BOGOTA, D.C.;MASCULINO;39;EDX
ANTIOQUIA;LA ESTRELLA;FEMENINO;42;DATACAMP
HUILA;NEIVA;MASCULINO;30;PLATZI
VALLE DEL CAUCA;CALI;FEMENINO;33;DATACAMP
CUNDINAMARCA;ZIPAQUIRA;FEMENINO;34;DATACAMP
CUNDINAMARCA;MOSQUERA;FEMENINO;29;MICROSOFT AZURE
VALLE DEL CAUCA;CALI;FEMENINO;28;EDX
VALLE DEL CAUCA;CALI;FEMENINO;28;EDX
BOGOTA;BOGOTA, D.C.;MASCULINO;23;PLATZI
BOGOTA;BOGOTA, D.C.;MASCULINO;23;PLATZI
BOGOTA;BOGOTA, D.C.;MASCULINO;23;PLATZI
BOGOTA;BOGOTA, D.C.;MASCULINO;23;PLATZI
BOGOTA;BOGOTA, D.C.;MASCULINO;23;PLATZI
BOGOTA;BOGOTA, D.C.;MASCULINO;23;PLATZI
BOGOTA;BOGOTA, D.C.;MASCULINO;23;PLATZI
BOGOTA;BOGOTA, D.C.;MASCULINO;23;PLATZI
BOGOTA;BOGOTA, D.C.;MASCULINO;23;PLATZI
BOGOTA;BOGOTA, D.C.;MASCULINO;23;PLATZI
BOGOTA;BOGOTA, D.C.;MASCULINO;23;PLATZI
ANTIOQUIA;EL SANTUARIO;MASCULINO;16;PLATZI
VALLE DEL CAUCA;CALI;MASCULINO;21;COURSERA
ANTIOQUIA;MEDELLIN;MASCULINO;35;DATACAMP
ANTIOQUIA;MEDELLIN;MASCULINO;35;DATACAMP
ANTIOQUIA;MEDELLIN;MASCULINO;35;DATACAMP
ANTIOQUIA;MEDELLIN;MASCULINO;35;DATACAMP
ANTIOQUIA;MEDELLIN;MASCULINO;35;DATACAMP
ANTIOQUIA;MEDELLIN;MASCULINO;35;DATACAMP
ATLANTICO;BARRANQUILLA;MASCULINO;23;MICROSOFT AZURE
ANTIOQUIA;ITAGUI;MASCULINO;35;DATACAMP
ATLANTICO;BARRANQUILLA;MASCULINO;41;COURSERA
ANTIOQUIA;ENVIGADO;FEMENINO;28;MICROSOFT AZURE
CUNDINAMARCA;MOSQUERA;FEMENINO;38;DATACAMP
CALDAS;MANIZALES;MASCULINO;42;DATACAMP
CALDAS;MANIZALES;MASCULINO;42;DATACAMP
ANTIOQUIA;MEDELLIN;MASCULINO;32;UDACITY
ANTIOQUIA;MEDELLIN;MASCULINO;32;UDACITY
CALDAS;MANIZALES;MASCULINO;35;DATACAMP
ANTIOQUIA;ARMENIA;MASCULINO;20;DATACAMP
NARIÑO;PASTO;MASCULINO;27;DATACAMP
ANTIOQUIA;MEDELLIN;FEMENINO;23;COURSERA
ANTIOQUIA;MEDELLIN;FEMENINO;23;COURSERA
VALLE DEL CAUCA;BUENAVENTURA;MASCULINO;24;PLATZI
ATLANTICO;PUERTO COLOMBIA;MASCULINO;39;PLATZI
ATLANTICO;BARRANQUILLA;FEMENINO;24;UDACITY
SANTANDER;FLORIDABLANCA;MASCULINO;22;EDX
RISARALDA;DOSQUEBRADAS;FEMENINO;26;PLATZI
CUNDINAMARCA;SOACHA;FEMENINO;29;PLATZI
ATLANTICO;BARRANQUILLA;MASCULINO;20;EDX
ATLANTICO;BARRANQUILLA;MASCULINO;20;EDX
